,subj,prop,obj,defdomain,defrange,label,remark
0,New_York_City,officialLanguage,English_language,PopulatedPlace,Language,1,
1,New_York_City,regionalLanguage,English_language,PopulatedPlace,Language,0,WP-DR
2,New_York_City,location,Atlantic_Ocean,None,Place,1,
3,New_York_City,westPlace,Atlantic_Ocean,Place,Place,0,WP-DR
4,New_York_City,location,Harlem_River,None,Place,1,
5,New_York_City,lowestMountain,Harlem_River,Place,Mountain,0,WP-D
6,New_York_City,location,Hudson_River,None,Place,1,
7,New_York_City,depths,Hudson_River,Place,Depth,0,WP-D
8,New_York_City,capital,Staten_Island,PopulatedPlace,City,1,
9,New_York_City,capital,Akwa_Akpa,PopulatedPlace,City,0,WE-T
10,New_York_City,location,"East_River,_Nova_Scotia",None,Place,1,
11,New_York_City,location,3753_Cruithne,None,Place,0,WE-T
12,New_York_City,location,Bronx_River,None,Place,1,
13,New_York_City,nationality,Bronx_River,Person,Country,0,WP
14,New_York_City,district,New_York_metropolitan_area,Place,PopulatedPlace,1,
15,New_York_City,firstDriverCountry,New_York_metropolitan_area,GrandPrix,Country,0,WP
16,New_York_City,location,Lower_New_York_Bay,None,Place,1,
17,New_York_City,mediaType,Lower_New_York_Bay,WrittenWork,None,0,WP
18,New_York_City,location,Long_Island_Sound,None,Place,1,
19,New_York_City,successor,Long_Island_Sound,None,None,0,WP
20,New_York_City,location,Upper_New_York_Bay,None,Place,1,
21,New_York_City,location,Gandvik,None,Place,0,WE
22,New_York_City,country,United_States,None,Country,1,
23,New_York_City,country,Eleusine_coracana,None,Country,0,WE
