,subj,prop,obj,defdomain,defrange,label,remark
0,Barack_Obama,nationality,United_States,Person,Country,1,
1,Barack_Obama,stateOfOrigin,United_States,Person,Country,0,WP-DR
2,Barack_Obama,birthPlace,Hawaii,Person,Place,1,
3,Barack_Obama,bodyDiscovered,Hawaii,Person,Place,0,WP-DR
4,Barack_Obama,sibling,Maya_Soetoro-Ng,Person,Person,1,
5,Barack_Obama,friend,Maya_Soetoro-Ng,Person,Person,0,WP-DR
6,Barack_Obama,residence,White_House,Person,Place,1,
7,Barack_Obama,educationPlace,White_House,Person,Place,0,WP-DR
8,Barack_Obama,spouse,Michelle_Obama,Person,Person,1,
9,Barack_Obama,dubber,Michelle_Obama,Person,Person,0,WP-DR
10,Barack_Obama,parents,Barack_Obama_Sr.,None,None,1,
11,Barack_Obama,patent,Barack_Obama_Sr.,Person,None,0,WP-DR
12,Barack_Obama,employer,Business_International_Corporation,Person,Organisation,1,
13,Barack_Obama,relatedFunctions,Business_International_Corporation,Person,List,0,WP-D
14,Barack_Obama,award,Time_Person_of_the_Year,None,Award,1,
15,Barack_Obama,residence,Time_Person_of_the_Year,Person,Place,0,WP-D
16,Barack_Obama,parents,Ann_Dunham,None,None,1,
17,Barack_Obama,sexualOrientation,Ann_Dunham,Person,None,0,WP-D
18,Barack_Obama,award,Order_of_the_British_Empire,None,Award,1,
19,Barack_Obama,contest,Order_of_the_British_Empire,Person,Contest,0,WP-D
20,Barack_Obama,almaMater,Punahou_School,Person,EducationalInstitution,1,
21,Barack_Obama,nationalTournament,Punahou_School,Person,Tournament,0,WP-D
22,Barack_Obama,party,Democratic_Party_(United_States),None,PoliticalParty,1,
23,Barack_Obama,handedness,Democratic_Party_(United_States),Person,None,0,WP-D
24,Barack_Obama,award,Grammy_Award_for_Best_Spoken_Word_Album,None,Award,1,
25,Barack_Obama,award,E._L._Thorndike_Award,None,Award,0,WE-T
26,Barack_Obama,birthPlace,Honolulu,Person,Place,1,
27,Barack_Obama,birthPlace,Anahuac_(Aztec),Person,Place,0,WE-T
28,Barack_Obama,award,Nobel_Peace_Prize,None,Award,1,
29,Barack_Obama,award,Honorary_César,None,Award,0,WE-T
30,Barack_Obama,award,President's_Medal_(Israel),None,Award,1,
31,Barack_Obama,award,Ali_Bader,None,Award,0,WE-T
32,Barack_Obama,almaMater,Harvard_Law_School,Person,EducationalInstitution,1,
33,Barack_Obama,almaMater,Hudson_High_School_(Massachusetts),Person,EducationalInstitution,0,WE-T
34,Barack_Obama,almaMater,Occidental_College,Person,EducationalInstitution,1,
35,Barack_Obama,almaMater,Stoke_Brunswick_School,Person,EducationalInstitution,0,WE-T
36,Barack_Obama,award,National_Medal_of_Science,None,Award,1,
37,Barack_Obama,parent,National_Medal_of_Science,Person,Person,0,WP
38,Barack_Obama,employer,Gamaliel_Foundation,Person,Organisation,1,
39,Barack_Obama,person,Gamaliel_Foundation,PersonFunction,Person,0,WP
40,Barack_Obama,almaMater,State_Elementary_School_Menteng_01,Person,EducationalInstitution,1,
41,Barack_Obama,genus,State_Elementary_School_Menteng_01,Species,None,0,WP
42,Barack_Obama,employer,Sidley_Austin,Person,Organisation,1,
43,Barack_Obama,director,Sidley_Austin,Film,Person,0,WP
44,Barack_Obama,employer,New_York_Public_Interest_Research_Group,Person,Organisation,1,
45,Barack_Obama,broadcastNetwork,New_York_Public_Interest_Research_Group,Broadcaster,BroadcastNetwork,0,WP
46,Barack_Obama,award,Order_of_the_Rajamitrabhorn,None,Award,1,
47,Barack_Obama,patent,Order_of_the_Rajamitrabhorn,Person,None,0,WP
48,Barack_Obama,almaMater,Columbia_University,Person,EducationalInstitution,1,
49,Barack_Obama,almaMater,Algebraic_topology,Person,EducationalInstitution,0,WE
50,Barack_Obama,relation,Lolo_Soetoro,Person,Person,1,
51,Barack_Obama,relation,Drummer,Person,Person,0,WE
52,Barack_Obama,almaMater,Harvard_Law_School,Person,EducationalInstitution,1,
53,Barack_Obama,almaMater,Los_Angeles_Community_College_District,Person,EducationalInstitution,0,WE
54,Barack_Obama,award,Order_of_King_Abdulaziz,None,Award,1,
55,Barack_Obama,award,"Alder_Creek_(Siskiyou_County,_California)",None,Award,0,WE
56,Barack_Obama,relation,Stanley_Armour_Dunham,Person,Person,1,
57,Barack_Obama,relation,1948_Summer_Olympics,Person,Person,0,WE
58,Barack_Obama,employer,University_of_Chicago,Person,Organisation,1,
59,Barack_Obama,employer,Melody_105.4_FM,Person,Organisation,0,WE
